Wavelength(nm)	Intensity
826.419	1014.48
826.455	988.58
826.491	1028.98
826.527	1008.28
826.563	1047.78
826.599	1015.88
826.636	1014.78
826.672	992.28
826.708	986.48
826.744	1023.48
826.78	982.68
826.816	1042.48
826.852	1033.08
826.888	1011.58
826.924	1033.08
826.96	1073.48
826.996	1041.08
827.032	1050.88
827.068	1053.08
827.104	1036.78
827.14	1051.08
827.176	1047.38
827.212	1035.48
827.247	993.58
827.283	1026.08
827.319	1071.68
827.355	1037.08
827.391	1043.38
827.427	1067.28
827.463	1056.68
827.499	1089.88
827.534	1088.78
827.57	1115.08
827.606	1116.18
827.642	1112.78
827.678	1084.88
827.713	1130.68
827.749	1102.38
827.785	1119.18
827.821	1114.88
827.856	1110.38
827.892	1126.38
827.928	1109.18
827.964	1106.58
827.999	1108.78
828.035	1102.08
828.071	1117.08
828.106	1136.98
828.142	1146.38
828.178	1139.88
828.213	1099.18
828.249	1155.28
828.285	1128.88
828.32	1071.98
828.356	1104.18
828.391	1068.88
828.427	1039.98
828.463	1034.98
828.498	1068.18
828.534	1030.38
828.569	1069.68
828.605	1078.88
828.64	1094.38
828.676	1147.18
828.711	1096.98
828.747	1125.88
828.782	1141.18
828.818	1173.68
828.853	1114.68
828.889	1096.78
828.924	1090.28
828.96	1040.78
828.995	1056.48
829.031	985.48
829.066	994.68
829.101	1009.58
829.137	979.88
829.172	1016.38
829.208	1007.98
829.243	991.68
829.278	1091.68
829.314	1102.78
829.349	1096.28
829.384	1101.48
829.42	1126.58
829.455	1088.58
829.49	1053.18
829.525	1035.78
829.561	1038.38
829.596	1107.78
829.631	1007.08
829.666	1009.48
829.702	945.28
829.737	995.98
829.772	994.48
829.807	1032.88
829.842	1035.88
829.878	1072.58
829.913	1116.18
829.948	1089.78
829.983	1116.08
830.018	1135.08
830.053	1084.78
830.089	1055.28
830.124	1013.98
830.159	993.78
830.194	964.58
830.229	922.48
830.264	929.58
830.299	950.78
830.334	1007.78
830.369	978.08
830.404	997.88
830.439	1009.98
830.474	1061.68
830.509	1087.98
830.544	1132.48
830.579	1087.98
830.614	1067.68
830.649	1034.08
830.684	966.88
830.719	980.78
830.754	931.38
830.789	931.48
830.824	871.68
830.859	900.48
830.894	873.28
830.928	903.38
830.963	929.68
830.998	923.38
831.033	1012.18
831.068	995.38
831.103	976.88
831.138	1007.58
831.172	995.08
831.207	986.08
831.242	960.68
831.277	943.58
831.312	931.88
831.346	848.38
831.381	863.08
831.416	830.98
831.451	821.58
831.485	830.78
831.52	836.98
831.555	849.88
831.589	871.68
831.624	946.88
831.659	851.88
831.693	945.98
831.728	942.68
831.763	886.98
831.797	877.68
831.832	894.78
831.867	852.58
831.901	822.28
831.936	773.98
831.97	785.18
832.005	753.28
832.04	774.08
832.074	735.88
832.109	811.58
832.143	798.68
832.178	790.78
832.212	854.58
832.247	843.68
832.281	801.68
832.316	848.58
832.35	816.18
832.385	830.48
832.419	804.98
832.454	769.38
832.488	750.08
832.522	749.28
832.557	752.38
832.591	721.38
832.626	750.68
832.66	749.68
832.694	770.78
832.729	773.98
832.763	760.68
832.797	807.98
832.832	785.98
832.866	768.38
832.9	781.48
832.935	768.58
832.969	741.98
833.003	713.98
833.038	675.58
833.072	700.48
833.106	729.38
833.14	703.28
833.175	723.08
833.209	699.58
833.243	708.48
833.277	699.88
833.311	697.28
833.346	714.98
833.38	727.18
833.414	746.08
833.448	737.98
833.482	667.18
833.516	694.38
833.551	681.68
833.585	672.78
833.619	670.68
833.653	653.98
833.687	661.68
833.721	683.98
833.755	672.88
833.789	692.28
833.823	669.28
833.857	673.78
833.891	660.58
833.925	666.18
833.959	659.58
833.993	673.88
834.027	689.28
834.061	648.58
834.095	656.28
834.129	678.58
834.163	655.78
834.197	692.48
834.231	619.08
834.265	697.98
834.299	634.78
834.333	650.98
