Wavelength(nm)	Intensity
827.928	1158.35
827.964	1057.75
827.999	1110.95
828.035	1114.25
828.071	1128.25
828.106	1107.15
828.142	1090.55
828.178	1144.05
828.213	1104.35
828.249	1120.45
828.285	1114.05
828.32	1130.15
828.356	1126.35
828.391	1122.05
828.427	1119.15
828.463	1136.15
828.498	1152.35
828.534	1119.55
828.569	1139.85
828.605	1142.05
828.64	1108.55
828.676	1077.35
828.711	1142.15
828.747	1087.05
828.782	1120.35
828.818	1104.85
828.853	1110.85
828.889	1118.95
828.924	1117.45
828.96	1099.95
828.995	1038.65
829.031	1061.65
829.066	1074.85
829.101	1056.75
829.137	1057.05
829.172	1079.55
829.208	1047.15
829.243	1055.85
829.278	1062.85
829.314	1062.95
829.349	1069.45
829.384	1053.65
829.42	1073.75
829.455	1044.75
829.49	1070.35
829.525	1069.95
829.561	1069.55
829.596	1090.95
829.631	1060.25
829.666	1041.65
829.702	1009.45
829.737	1067.15
829.772	1057.65
829.807	1012.05
829.842	1079.05
829.878	1045.75
829.913	1061.35
829.948	1062.95
829.983	1041.25
830.018	1038.25
830.053	1041.95
830.089	1010.45
830.124	1049.15
830.159	1057.95
830.194	1035.75
830.229	1040.65
830.264	1086.75
830.299	1039.95
830.334	1052.95
830.369	1038.25
830.404	983.05
830.439	1047.15
830.474	1001.85
830.509	1018.15
830.544	1069.65
830.579	1001.15
830.614	998.85
830.649	1038.25
830.684	1014.05
830.719	998.95
830.754	1013.55
830.789	984.65
830.824	955.85
830.859	962.65
830.894	982.45
830.928	981.55
830.963	986.85
830.998	964.55
831.033	956.35
831.068	958.55
831.103	891.05
831.138	971.75
831.172	941.25
831.207	910.25
831.242	980.85
831.277	916.75
831.312	950.05
831.346	887.55
831.381	932.25
831.416	901.15
831.451	915.75
831.485	878.95
831.52	895.15
831.555	898.05
831.589	846.85
831.624	888.05
831.659	856.05
831.693	831.15
831.728	867.85
831.763	843.15
831.797	828.85
831.832	866.95
831.867	825.75
831.901	838.45
831.936	825.15
831.97	860.35
832.005	853.45
832.04	837.25
832.074	830.05
832.109	837.75
832.143	819.85
832.178	807.95
832.212	826.75
832.247	808.85
832.281	803.85
832.316	835.75
832.35	793.35
832.385	816.65
832.419	827.15
832.454	801.55
832.488	813.25
832.522	774.45
832.557	805.55
832.591	743.55
832.626	744.85
832.66	797.85
832.694	788.95
832.729	751.15
832.763	755.85
832.797	790.15
832.832	767.15
832.866	756.55
832.9	775.65
832.935	738.75
832.969	757.15
833.003	735.15
833.038	707.75
833.072	708.65
833.106	733.55
833.14	756.45
833.175	740.25
833.209	753.75
833.243	705.65
833.277	706.05
833.311	698.45
833.346	719.15
833.38	730.35
833.414	693.25
833.448	707.15
833.482	671.35
833.516	718.55
833.551	681.85
833.585	719.95
833.619	690.85
833.653	694.15
833.687	670.85
833.721	703.15
833.755	700.05
833.789	713.45
833.823	689.45
833.857	677.95
833.891	663.75
833.925	653.35
833.959	687.75
833.993	636.05
834.027	687.45
834.061	674.75
834.095	679.45
834.129	649.75
834.163	694.95
834.197	675.65
834.231	677.25
834.265	694.15
834.299	668.95
834.333	665.15
834.367	661.85
834.401	657.85
834.434	659.65
834.468	628.35
834.502	654.35
834.536	628.75
834.57	635.55
834.604	661.15
834.638	657.05
834.671	654.25
834.705	638.55
834.739	608.95
834.773	633.45
834.806	648.85
834.84	629.95
834.874	626.25
834.908	597.85
834.941	636.85
834.975	666.35
835.009	632.55
835.042	621.95
835.076	615.45
835.11	638.35
835.144	636.35
835.177	582.05
835.211	647.25
835.244	610.35
835.278	607.45
835.312	629.45
835.345	623.75
835.379	600.95
835.412	593.85
835.446	588.45
835.48	664.15
835.513	595.45
835.547	642.65
835.58	612.65
835.614	602.95
835.647	599.25
835.681	597.95
835.714	598.95
835.748	633.55
835.781	620.55
835.815	600.35
835.848	598.25
835.882	606.85
835.915	599.75
835.948	592.65
835.982	598.25
836.015	627.75
836.049	636.55
836.082	620.35
836.115	624.75
836.149	600.85
836.182	630.35
836.216	621.45
836.249	609.35
836.282	610.55
836.316	607.55
836.349	624.55
836.382	630.55
836.415	618.75
836.449	636.85
836.482	611.95
836.515	620.45
836.548	625.45
836.582	614.65
836.615	613.15
836.648	617.55
836.681	627.75
836.715	599.45
836.748	608.05
836.781	614.95
836.814	650.05
836.847	613.35
836.88	643.55
